Player,Position,Height,Weight,Seasons-Col,Games-Col,Tackles-Col,TFL-Col,PD-game-Col,Int-Col,PD-Col,FF-Col,40 yd dash,Vertical,DC Pos,DraftPos,Games-FY,Tackles-FY,STF-FY,PD-game-FY,Int-FY,PD-FY,FF-FY,AV-FY,RProdScale,Similarity Factor
Bradley Roby,CB,71,194,3,36,178,7.5,0.5,8,19,1,4.39,38.5,1.5,31,16,65,4,0.9,2,14,2,2,45.2,32.45
Adoree Jackson,CB,70,186,3,39,139,6,0.7,6,28,3,4.42,36,1,18,16,61,2,1.1,0,17,3,6,128.4,110.55
Shaquill Griffin,CB,72,194,4,34,113,3,0.8,6,27,0,4.38,38.5,1.5,90,15,50,1,1,1,15,0,4,68.4,49.98
Jalen Mills,CB,72,191,4,45,216,8,0.2,6,11,0,4.61,37,2,233,16,51,0,0.4,0,7,0,2,26,14.01
Dre Kirkpatrick,CB,74,186,3,38,91,8,0.4,3,16,3,4.5,35,4,17,5,2,0,0,0,0,0,0,0,51.85
William Jackson,CB,72,189,1,12,43,1.5,1.9,5,23,0,4.37,36.5,2,24,0,0,0,0,0,0,0,0,0,53.59
Artie Burns,CB,72,193,3,34,93,3,0.4,7,14,1,4.46,31.5,2.5,25,16,51,2,0.8,3,13,0,5,92,73.26
Desmond Trufant,CB,72,190,4,50,195,8.5,0.5,6,23,0,4.38,37.5,1,22,16,55,2,1.1,2,17,1,5,103,84.59
Ross Cockrell,CB,72,191,4,49,233,7,0.6,12,28,1,4.56,36.5,2,104,7,1,0,0,0,0,0,0,0,52.72
Trae Waynes,CB,72,186,3,26,101,4,0.5,6,13,0,4.31,38,1.5,11,15,20,0,0.3,0,4,0,1,5.6,33.19
Anthony Brown,CB,71,192,4,36,189,9.5,0.5,4,19,1,4.33,35,2,189,16,37,0,0.5,1,8,1,4,48,32.11
Rasul Douglas,CB,74,209,2,18,77,3.5,0.5,9,9,2,4.59,33.5,2,99,14,22,0,0.8,2,11,0,3,31.2,28.92
Logan Ryan,CB,71,191,3,37,170,11.5,0.5,7,18,0,4.56,32.5,2,83,16,38,1,0.6,5,10,1,4,66,48.25
James Bradberry,CB,73,211,3,35,96,7,0.9,6,31,0,4.45,36,1,62,13,47,3,0.8,2,10,0,6,95.4,76.64
Daryl Worley,CB,73,204,3,33,143,9,0.6,10,21,2,4.64,35.5,1,77,16,62,1,0.6,1,9,0,5,85.5,68.66
Xavier Rhodes,CB,73,210,3,41,140,7,0.7,8,27,0,4.43,40.5,1.5,25,13,41,1,0.8,0,10,1,2,26.2,13.31
Jourdan Lewis,CB,70,188,4,41,135,8.5,0.9,6,37,1,4.54,34.5,2,92,15,48,2,0.7,1,10,0,3,45,27.23
Jamar Taylor,CB,71,192,5,49,132,10,0.7,7,33,3,4.39,35,3,54,9,3,0,0,0,0,0,1,0.6,50.64
Ronald Darby,CB,71,193,3,21,78,0.5,0.8,2,16,2,4.38,41.5,2,50,15,61,3,1.4,2,21,0,6,138.6,120.71
Kevin Johnson,CB,72,188,4,47,189,8,0.5,7,24,1,4.52,41.5,1.5,16,16,47,3,0.6,1,9,0,5,73.5,55.02
Byron Jones,CB,73,199,4,43,225,4,0.5,8,20,0,4.43,44.5,1.5,27,16,47,3,0.5,0,8,0,4,54,36.18
Jalen Collins,CB,73,203,3,32,90,3,0.4,3,14,0,4.48,36,1.5,42,16,11,0,0,0,0,0,1,2.2,43.22
Eric Rowe,CB,73,205,4,47,261,7,0.7,3,34,0,4.45,39,2,47,16,24,0,0.3,1,5,0,2,15.2,26.38
Senquez Golson,CB,69,176,4,47,130,6,0.3,16,15,0,4.46,33.5,2,56,0,0,0,0,0,0,0,0,0,53.59
Quinten Rollins,CB,71,195,1,12,72,4,0.8,7,9,1,4.57,36.5,1.5,62,14,24,0,0.4,2,6,0,3,26.4,26.48
Craig Mager,CB,71,201,3,36,160,13,0.5,7,18,1,4.44,38,3.5,83,10,8,0,0.2,0,2,0,1,2.4,45.1
Steven Nelson,CB,70,197,2,25,122,2,0.6,8,16,0,4.49,34.5,3,98,12,1,0,0,0,0,0,1,0.2,52.52
Josh Shaw,CB,72,201,2,23,52,3,0.2,2,4,0,4.44,37.5,2,120,15,13,0,0.1,0,1,0,1,3,40.92
Bobby McCain,CB,69,195,4,45,131,6.5,0.4,12,17,2,4.51,36,2.5,145,16,19,1,0.3,0,4,0,2,11.4,31.88
Charles Gaines,CB,70,180,3,32,57,0,0.5,7,17,0,4.44,34.5,3,189,6,15,1,0.3,0,2,1,1,4.7,38.17
Kevin King,CB,75,200,4,43,103,9.5,0.5,6,22,2,4.43,39.5,2,33,9,21,1,0.6,0,5,0,2,13,
Quincy Wilson,CB,73,211,3,37,47,4.5,0.4,6,14,1,4.54,32,2,46,7,19,2,0.9,1,6,0,2,15.2,
Teez Tabor,CB,72,199,3,37,65,11,0.8,8,28,1,4.62,31,2.5,53,10,10,0,0,0,0,0,1,2,
Chidobe Awuzie,CB,72,202,4,48,212,25,0.5,3,25,6,4.43,34.5,3,60,10,14,0,0.7,1,7,1,3,21,
Ahkello Witherspoon,CB,75,198,3,39,61,0,0.6,3,24,1,4.45,40.5,3.5,66,12,28,0,0.6,2,7,1,3,31.8,
Fabian Moreau,CB,72,206,5,48,99,4.5,0.4,3,21,2,4.35,38,4,81,16,4,0,0.1,0,1,0,1,1.2,
Cameron Sutton,CB,71,188,4,44,111,13,0.7,7,30,3,4.52,34,4,94,5,4,0,0.2,0,1,0,1,1.2,
Cordrea Tankersley,CB,73,199,4,39,90,10,0.5,9,20,0,4.4,29.5,2.5,97,11,24,1,0.6,0,7,0,3,23.7,
Damontae Kazee,CB,70,184,4,53,171,14.5,0.5,17,29,6,4.54,34,3.5,149,16,10,0,0,0,0,2,1,3.2,
Desmond King,CB,70,201,4,53,174,9.5,0.6,14,33,1,4.52,34,2.5,151,16,61,5,0.3,1,5,0,3,49.5,
